evaluation_run_id,composition_id,comparison_group,execution_mode,binding_mode,experiment_name,family,policy_set,bits,merkle_depth,constraints,witness_time_s_median,prove_time_s_median,verify_time_s_median,bundle_check_time_s_median,total_online_time_s_median,proof_size_bytes,public_size_bytes,successful_runs,failed_runs,binding_failures
20260728T123050Z_paper_groth16,valid_limit_b16,baseline,monolithic,shared_witness,local_validity_and_operating_limit_16,local_validity_and_operating_limit,pi_valid+pi_limit,16,,131.0,0.020889424999836592,0.2967608389999441,0.25764054100000067,0.0,0.5765916724998306,805.0,12.0,30,0,0
20260728T123050Z_paper_groth16,valid_limit_b64,baseline,monolithic,shared_witness,local_validity_and_operating_limit_64,local_validity_and_operating_limit,pi_valid+pi_limit,64,,467.0,0.021436683999809247,0.3025646034998317,0.2617559220000203,0.0,0.5869904834999033,805.0,26.0,30,0,0
20260728T123050Z_paper_groth16,token_bundle_b32_d32,baseline,monolithic,shared_witness,token_policy_bundle_32_depth_32,token_policy_bundle,pi_mem+pi_null+pi_valid+pi_budget,32,32,18005.0,0.04885090849984408,0.6908435440000176,0.2656274379999104,0.0,1.0096493139999438,805.0,261.0,30,0,0
20260728T123050Z_paper_groth16,token_bundle_b32_d8,baseline,monolithic,shared_witness,token_policy_bundle_32_depth_8,token_policy_bundle,pi_mem+pi_null+pi_valid+pi_budget,32,8,5525.0,0.045786916499992,0.44700335050015383,0.26536072450016945,0.0,0.751971677000256,805.0,261.0,30,0,0
20260728T123050Z_paper_groth16,account_budget_b16,baseline,separate,unbound,separate_account_budget_16,account_policy_with_privacy_budget,pi_valid+pi_trans+pi_limit+pi_budget,16,,329.0,0.07983306199980689,1.1617709870004091,1.0297902070001328,0.0,2.271647181500043,3221.0,29.0,30,0,0
20260728T123050Z_paper_groth16,account_budget_b64,baseline,separate,unbound,separate_account_budget_64,account_policy_with_privacy_budget,pi_valid+pi_trans+pi_limit+pi_budget,64,,1193.0,0.08468498700040072,1.1953229225000541,1.0399402560001363,0.0,2.322686190500008,3220.0,58.0,30,0,0
20260728T123050Z_paper_groth16,account_core_b16,baseline,separate,unbound,separate_account_core_16,account_policy_core,pi_valid+pi_trans+pi_limit,16,,237.0,0.060371460999931514,0.8723355570000422,0.7806050299996059,0.0,1.7027043239995692,2414.0,18.0,30,0,0
20260728T123050Z_paper_groth16,account_core_b32,baseline,separate,unbound,separate_account_core_32,account_policy_core,pi_valid+pi_trans+pi_limit,32,,445.0,0.060648589499805894,0.893863240999849,0.7764804710001272,0.0,1.7313909304999697,2414.0,22.0,30,0,0
20260728T123050Z_paper_groth16,account_core_b64,baseline,separate,unbound,separate_account_core_64,account_policy_core,pi_valid+pi_trans+pi_limit,64,,861.0,0.06378662949987302,0.9052685765000206,0.7813858734999712,0.0,1.7489640604999295,2415.0,32.0,30,0,0
20260728T123050Z_paper_groth16,token_bundle_b32_d32,baseline,separate,unbound,separate_token_bundle_32_depth_32,token_policy_bundle,pi_mem+pi_null+pi_valid+pi_budget,32,32,17433.0,0.11528465200012761,1.6107720245001929,1.0537661600002366,0.0,2.7795304189994567,3221.5,267.0,30,0,0
20260728T123050Z_paper_groth16,token_bundle_b32_d8,baseline,separate,unbound,separate_token_bundle_32_depth_8,token_policy_bundle,pi_mem+pi_null+pi_valid+pi_budget,32,8,4953.0,0.1143953909999027,1.343967158999476,1.0458034629996291,0.0,2.511703372999591,3220.0,267.0,30,0,0
20260728T123050Z_paper_groth16,valid_limit_b16,baseline,separate,unbound,separate_valid_limit_16,local_validity_and_operating_limit,pi_valid+pi_limit,16,,148.0,0.04060508700001719,0.5817579294998723,0.5249045784997861,0.0,1.1419843544995274,1610.0,15.0,30,0,0
20260728T123050Z_paper_groth16,valid_limit_b64,baseline,separate,unbound,separate_valid_limit_64,local_validity_and_operating_limit,pi_valid+pi_limit,64,,532.0,0.04246966599998814,0.6092014225001776,0.5212751069998376,0.0,1.16706068100018,1610.0,29.0,30,0,0
