evaluation_run_id,composition_id,comparison_group,family,policy_set,architecture,bits,merkle_depth,monolithic_experiment,monolithic_binding_mode,separate_experiment,separate_binding_mode,monolithic_constraints,separate_constraints,difference_constraints,ratio_constraints,saving_constraints,monolithic_witness_time_s_median,separate_witness_time_s_median,difference_witness_time_s_median,ratio_witness_time_s_median,saving_witness_time_s_median,monolithic_prove_time_s_median,separate_prove_time_s_median,difference_prove_time_s_median,ratio_prove_time_s_median,saving_prove_time_s_median,monolithic_verify_time_s_median,separate_verify_time_s_median,difference_verify_time_s_median,ratio_verify_time_s_median,saving_verify_time_s_median,monolithic_total_online_time_s_median,separate_total_online_time_s_median,difference_total_online_time_s_median,ratio_total_online_time_s_median,saving_total_online_time_s_median,monolithic_proof_size_bytes,separate_proof_size_bytes,difference_proof_size_bytes,ratio_proof_size_bytes,saving_proof_size_bytes,monolithic_public_size_bytes,separate_public_size_bytes,difference_public_size_bytes,ratio_public_size_bytes,saving_public_size_bytes
20260728T123050Z_paper_groth16,valid_limit_b32,baseline,local_validity_and_operating_limit,pi_valid+pi_limit,account,32,,local_validity_and_operating_limit_32,shared_witness,separate_valid_limit_32,unbound,243.0,276.0,-33.0,0.8804347826086957,0.11956521739130432,0.021241446999965774,0.04096265349983241,-0.01972120649986664,0.5185564211569613,0.4814435788430387,0.29796414199995525,0.5882145934997425,-0.29025045149978723,0.5065568676682036,0.4934431323317964,0.26028790500015475,0.5195635904999563,-0.2592756854998015,0.5009741054982118,0.49902589450178825,0.5803211339998597,1.1543663280000374,-0.5740451940001776,0.5027183485205062,0.49728165147949377,805.0,1609.0,-804.0,0.5003107520198882,0.49968924798011183,16.0,19.0,-3.0,0.8421052631578947,0.1578947368421053
20260728T123050Z_paper_groth16,valid_limit_b32,commitment_linked,local_validity_and_operating_limit,pi_valid+pi_limit,account,32,,linked_valid_limit_monolithic_32,transaction_commitment,linked_separate_valid_limit_32,transaction_commitment,1210.0,2210.0,-1000.0,0.5475113122171946,0.4524886877828054,0.03968256550024307,0.08051202199987983,-0.04082945649963676,0.4928775171030023,0.5071224828969977,0.335411917500096,0.6720408120000911,-0.3366288944999951,0.4990945661497274,0.5009054338502725,0.2577439950000553,0.5232939135003107,-0.26554991850025544,0.49254154950132484,0.5074584504986752,0.632326727499958,1.273970473999725,-0.6416437464997671,0.4963433143899491,0.5036566856100508,806.0,1609.0,-803.0,0.5009322560596644,0.4990677439403356,98.0,196.0,-98.0,0.5,0.5
20260728T123050Z_paper_groth16,account_budget_b32,baseline,account_policy_with_privacy_budget,pi_valid+pi_trans+pi_limit+pi_budget,account,32,,account_policy_with_privacy_budget_32,shared_witness,separate_account_budget_32,unbound,485.0,617.0,-132.0,0.7860615883306321,0.2139384116693679,0.021697256000152265,0.08166945799985115,-0.05997220199969888,0.26567160516960714,0.7343283948303929,0.3029349084998785,1.183857092000153,-0.8809221835002745,0.25588807175033534,0.7441119282496647,0.2599292520000063,1.0462140299999874,-0.7862847779999811,0.24844749214461348,0.7515525078553865,0.5816487065003457,2.319806644999858,-1.738157938499512,0.25073154599071396,0.749268454009286,805.0,3221.0,-2416.0,0.2499223843526855,0.7500776156473146,30.0,38.0,-8.0,0.7894736842105263,0.21052631578947367
20260728T123050Z_paper_groth16,account_budget_b32,commitment_linked,account_policy_with_privacy_budget,pi_valid+pi_trans+pi_limit+pi_budget,account,32,,linked_account_budget_monolithic_32,transaction_commitment,linked_separate_account_budget_32,transaction_commitment,1914.0,6333.0,-4419.0,0.30222643297015633,0.6977735670298437,0.059065622000161966,0.23258319200010646,-0.1735175699999445,0.25395481716552815,0.7460451828344719,0.3448781859999599,1.3590707034998104,-1.0141925174998505,0.2537602974678558,0.7462397025321442,0.26123028500001055,1.0487286985003266,-0.787498413500316,0.2490923394902492,0.7509076605097508,0.6651303014998575,2.6368692555004145,-1.971738954000557,0.2522424273074668,0.7477575726925332,805.0,3218.5,-2413.5,0.25011651390399253,0.7498834860960075,111.0,444.0,-333.0,0.25,0.75
20260728T123050Z_paper_groth16,token_bundle_b32_d16,baseline,token_policy_bundle,pi_mem+pi_null+pi_valid+pi_budget,token,32,16,token_policy_bundle_32_depth_16,shared_witness,separate_token_bundle_32_depth_16,unbound,9685.0,9113.0,572.0,1.0627674750356633,-0.06276747503566327,0.04566710349990899,0.11219296399985978,-0.0665258604999508,0.40704070800701964,0.5929592919929804,0.5478049479999072,1.423576181000385,-0.8757712330004779,0.3848090150082098,0.6151909849917903,0.260505034499829,1.0369985440000846,-0.7764935095002556,0.2512106077747856,0.7487893922252145,0.8510610995000434,2.58582103849983,-1.7347599389997868,0.32912606357081403,0.670873936429186,805.0,3220.0,-2415.0,0.25,0.75,260.0,267.0,-7.0,0.9737827715355806,0.02621722846441943
20260728T123050Z_paper_groth16,token_bundle_b32_d16,commitment_linked,token_policy_bundle,pi_mem+pi_null+pi_valid+pi_budget,token,32,16,linked_token_bundle_monolithic_32_depth_16,transaction_commitment,linked_separate_token_bundle_32_depth_16,transaction_commitment,11114.0,15434.0,-4320.0,0.7200984838667877,0.27990151613321235,0.06330526849990292,0.2366643180000665,-0.17335904950016356,0.2674897045522728,0.7325102954477272,0.5594392960000505,1.581542440000021,-1.0221031439999706,0.3537301825425836,0.6462698174574164,0.2649176030001854,1.0393715345001056,-0.7744539314999201,0.2548824883179043,0.7451175116820957,0.8835150550002027,2.8487364275000573,-1.9652213724998546,0.31014278698136416,0.6898572130186358,805.0,3221.0,-2416.0,0.2499223843526855,0.7500776156473146,342.0,1368.0,-1026.0,0.25,0.75
20260728T123050Z_paper_groth16,account_core_b16,baseline,account_policy_core,pi_valid+pi_trans+pi_limit,account,16,,account_policy_core_16,shared_witness,separate_account_core_16,unbound,186.0,237.0,-51.0,0.7848101265822784,0.21518987341772156,0.020851321000009193,0.060371460999931514,-0.03952013999992232,0.3453837401753926,0.6546162598246075,0.29388794199996937,0.8723355570000422,-0.5784476150000728,0.3368978137388422,0.6631021862611578,0.2654085199999372,0.7806050299996059,-0.5151965099996687,0.3400035995157131,0.6599964004842869,0.5796471054999301,1.7027043239995692,-1.123057218499639,0.3404273409832938,0.6595726590167061,805.0,2414.0,-1609.0,0.33347141673570835,0.6665285832642917,12.0,18.0,-6.0,0.6666666666666666,0.33333333333333337
20260728T123050Z_paper_groth16,account_core_b32,baseline,account_policy_core,pi_valid+pi_trans+pi_limit,account,32,,account_policy_core_32,shared_witness,separate_account_core_32,unbound,346.0,445.0,-99.0,0.7775280898876404,0.22247191011235956,0.02202098699990529,0.060648589499805894,-0.038627602499900604,0.36309149448522243,0.6369085055147776,0.3004614765000042,0.893863240999849,-0.5934017644998448,0.33613808323062583,0.6638619167693742,0.2625528224999698,0.7764804710001272,-0.5139276485001574,0.3381319071190482,0.6618680928809517,0.5836698324999361,1.7313909304999697,-1.1477210980000336,0.337110367287988,0.662889632712012,806.0,2414.0,-1608.0,0.33388566694283345,0.6661143330571666,16.0,22.0,-6.0,0.7272727272727273,0.2727272727272727
20260728T123050Z_paper_groth16,account_core_b64,baseline,account_policy_core,pi_valid+pi_trans+pi_limit,account,64,,account_policy_core_64,shared_witness,separate_account_core_64,unbound,666.0,861.0,-195.0,0.7735191637630662,0.22648083623693382,0.021884960500074158,0.06378662949987302,-0.04190166899979886,0.3430963615990672,0.6569036384009328,0.31062219199998253,0.9052685765000206,-0.594646384500038,0.34312711173618815,0.6568728882638118,0.26270363549986087,0.7813858734999712,-0.5186822380001104,0.3362021818018835,0.6637978181981166,0.5966802159998679,1.7489640604999295,-1.1522838445000616,0.34116207958516365,0.6588379204148364,804.5,2415.0,-1610.5,0.3331262939958592,0.6668737060041408,26.0,32.0,-6.0,0.8125,0.1875
20260728T123050Z_paper_groth16,account_budget_b16,baseline,account_policy_with_privacy_budget,pi_valid+pi_trans+pi_limit+pi_budget,account,16,,account_policy_with_privacy_budget_16,shared_witness,separate_account_budget_16,unbound,261.0,329.0,-68.0,0.7933130699088146,0.20668693009118544,0.0211929055001292,0.07983306199980689,-0.05864015649967769,0.2654652717714932,0.7345347282285069,0.29885058300010314,1.1617709870004091,-0.862920404000306,0.2572370857458828,0.7427629142541172,0.26147950600011427,1.0297902070001328,-0.7683107010000185,0.2539153161708796,0.7460846838291204,0.5795846080001184,2.271647181500043,-1.6920625734999248,0.2551384795667959,0.7448615204332041,805.0,3221.0,-2416.0,0.2499223843526855,0.7500776156473146,21.0,29.0,-8.0,0.7241379310344828,0.27586206896551724
