bits,operating_constraints,budget_constraints,constraint_difference,operating_prove_median_s,budget_prove_median_s
16,92.0,92.0,0.0,0.28777178649988855,0.28945557200006533
32,172.0,172.0,0.0,0.29497416749984495,0.2972975034997489
64,332.0,332.0,0.0,0.3053034579999121,0.29891962750025414
