evaluation_run_id,experiment_name,family,policy_set,architecture,role,bits,merkle_depth,composition_id,comparison_group,binding_mode,execution_mode,component_count,component_names,proving_system,attempted_runs,successful_runs,failed_runs,binding_failures,constraints,proof_size_bytes,public_size_bytes,witness_time_s_count,witness_time_s_mean,witness_time_s_median,witness_time_s_stdev,witness_time_s_min,witness_time_s_p25,witness_time_s_p75,witness_time_s_iqr,witness_time_s_p95,witness_time_s_max,witness_time_s_cv,prove_time_s_count,prove_time_s_mean,prove_time_s_median,prove_time_s_stdev,prove_time_s_min,prove_time_s_p25,prove_time_s_p75,prove_time_s_iqr,prove_time_s_p95,prove_time_s_max,prove_time_s_cv,verify_time_s_count,verify_time_s_mean,verify_time_s_median,verify_time_s_stdev,verify_time_s_min,verify_time_s_p25,verify_time_s_p75,verify_time_s_iqr,verify_time_s_p95,verify_time_s_max,verify_time_s_cv,bundle_check_time_s_count,bundle_check_time_s_mean,bundle_check_time_s_median,bundle_check_time_s_stdev,bundle_check_time_s_min,bundle_check_time_s_p25,bundle_check_time_s_p75,bundle_check_time_s_iqr,bundle_check_time_s_p95,bundle_check_time_s_max,bundle_check_time_s_cv,total_online_time_s_count,total_online_time_s_mean,total_online_time_s_median,total_online_time_s_stdev,total_online_time_s_min,total_online_time_s_p25,total_online_time_s_p75,total_online_time_s_iqr,total_online_time_s_p95,total_online_time_s_max,total_online_time_s_cv
20260728T123050Z_paper_groth16,account_policy_core_16,account_policy_core,pi_valid+pi_trans+pi_limit,account,composition,16,,account_core_b16,baseline,shared_witness,monolithic,1,account_policy_core_16,groth16,30,30,0,0,186.0,805.0,12.0,30,0.021478737566674986,0.020851321000009193,0.001979262554141449,0.018537266999828717,0.020336284999984855,0.022829464999972515,0.0024931799999876603,0.024269203649907922,0.028411324999979115,0.09214985508330548,30,0.2953763886000009,0.29388794199996937,0.008410642506389166,0.28297806499995204,0.2900984034998828,0.29872419149990037,0.008625788000017565,0.3122631594500831,0.31870221299982404,0.0284743223595264,30,0.2687613402333151,0.2654085199999372,0.017026894592755294,0.24714134200030458,0.25650786149992655,0.27678457599995454,0.020276714500027992,0.30032236139995794,0.32201606200010247,0.06335321359081642,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.585616466399991,0.5796471054999301,0.023957400459490664,0.5513672420001967,0.572841177999635,0.5916588894999677,0.018817711500332734,0.6415844215498964,0.6533190700001796,0.040909711106256956
20260728T123050Z_paper_groth16,account_policy_core_32,account_policy_core,pi_valid+pi_trans+pi_limit,account,composition,32,,account_core_b32,baseline,shared_witness,monolithic,1,account_policy_core_32,groth16,30,30,0,0,346.0,806.0,16.0,30,0.02245027029995678,0.02202098699990529,0.001482618362990959,0.020400440999765124,0.021458336000023337,0.023423716750016865,0.0019653807499935283,0.02504586809993725,0.025960917000020345,0.06604011190875565,30,0.3040431950666971,0.3004614765000042,0.01718418297617928,0.2816515519998575,0.2928933825001536,0.3104709497498561,0.017577567249702497,0.34008412200003013,0.3518035950000922,0.05651888697068071,30,0.2634936882666655,0.2625528224999698,0.010602667045613133,0.2447937650001677,0.2555160677497952,0.2705599522502098,0.015043884500414606,0.2800999281998884,0.28786259199978304,0.04023878945776809,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.5899871536333194,0.5836698324999361,0.02446166588609557,0.5561959450001268,0.5755475382503619,0.6040880102502797,0.028540471999917827,0.6339942425500452,0.6547987889998694,0.04146135341329591
20260728T123050Z_paper_groth16,account_policy_core_64,account_policy_core,pi_valid+pi_trans+pi_limit,account,composition,64,,account_core_b64,baseline,shared_witness,monolithic,1,account_policy_core_64,groth16,30,30,0,0,666.0,804.5,26.0,30,0.022042258299984498,0.021884960500074158,0.001624815894432767,0.019611325999903784,0.021124681499827602,0.02264214475007975,0.001517463250252149,0.024663952650053035,0.02760888500006331,0.07371367635383846,30,0.31323766773335443,0.31062219199998253,0.013353836148154559,0.2905630029999884,0.30446473899991133,0.3210977537499957,0.016633014750084385,0.335894267850108,0.3449658529998487,0.04263164211630543,30,0.26231816343330744,0.26270363549986087,0.009299581354854475,0.24192655600018043,0.25655866874978983,0.26836372774988604,0.011805059000096207,0.2776147198999297,0.27914035799994963,0.035451534248099555,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.5975980894666464,0.5966802159998679,0.019695753464479906,0.553469818999929,0.5855580167501557,0.6115109304997759,0.025952913749620166,0.6209474337999495,0.6446973550000621,0.03295819349432371
20260728T123050Z_paper_groth16,account_policy_with_privacy_budget_16,account_policy_with_privacy_budget,pi_valid+pi_trans+pi_limit+pi_budget,account,composition,16,,account_budget_b16,baseline,shared_witness,monolithic,1,account_policy_with_privacy_budget_16,groth16,30,30,0,0,261.0,805.0,21.0,30,0.021512990700049764,0.0211929055001292,0.0015318622714572605,0.01892188600004374,0.02058933774998195,0.022203388500088295,0.001614050750106344,0.024116928149862812,0.025897795000219048,0.07120638375275815,30,0.3016826074667127,0.29885058300010314,0.011853760473045562,0.28266633799967167,0.29238956674993233,0.3085946977500953,0.016205131000162964,0.3230093182001269,0.3285938359999818,0.03929215731919014,30,0.26228494436666855,0.26147950600011427,0.013595699325547932,0.24364956799990978,0.25206441899996435,0.2680130087503585,0.01594858975039415,0.28289992559999744,0.30682176499999514,0.05183560710423944,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.585480542533431,0.5795846080001184,0.02295937367559966,0.5523288899998988,0.5699629925001091,0.6024628245006625,0.0324998320005534,0.6267068258004429,0.6463430629999039,0.03921458017418005
20260728T123050Z_paper_groth16,account_policy_with_privacy_budget_32,account_policy_with_privacy_budget,pi_valid+pi_trans+pi_limit+pi_budget,account,composition,32,,account_budget_b32,baseline,shared_witness,monolithic,1,account_policy_with_privacy_budget_32,groth16,30,30,0,0,485.0,805.0,30.0,30,0.02194623226667621,0.021697256000152265,0.001626803591432156,0.019646162999833905,0.02082732550007904,0.022976716750065407,0.0021493912499863654,0.02463688965001438,0.025957232000109798,0.07412678275087527,30,0.3061233403666847,0.3029349084998785,0.013362223375895321,0.285067636000349,0.2964089270000727,0.31289643174977755,0.01648750474970484,0.3320416709500364,0.3346026289996189,0.043649802592280636,30,0.26074522629999897,0.2599292520000063,0.01348886801142267,0.240556960000049,0.25254173299998683,0.2652296395000917,0.012687906500104873,0.27801538344995147,0.31413365700018403,0.05173198452309584,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.5888147989333599,0.5816487065003457,0.023682825693793236,0.5579015150001396,0.5750618322499577,0.5970584157500411,0.02199658350008349,0.6295362159998831,0.6711295070003871,0.04022117945522898
20260728T123050Z_paper_groth16,account_policy_with_privacy_budget_64,account_policy_with_privacy_budget,pi_valid+pi_trans+pi_limit+pi_budget,account,composition,64,,account_budget_b64,baseline,shared_witness,monolithic,1,account_policy_with_privacy_budget_64,groth16,30,30,0,0,933.0,805.5,50.0,30,0.023002880499984713,0.02265508300001784,0.00142481050767331,0.020292664999942644,0.02234458174973497,0.023313921999942977,0.0009693402502080062,0.025852680850152864,0.02606405699998504,0.061940525564798586,30,0.3153475132666396,0.31316218899996784,0.01327838899581125,0.29479232799985766,0.30623812774996395,0.3204023502499922,0.014164222500028245,0.3416949404999286,0.3485104420001335,0.042107162534000424,30,0.2647884345333144,0.26534414549996654,0.0154110722061358,0.241048168999896,0.25239169624967417,0.27148383675000787,0.0190921405003337,0.2907369987501284,0.3114818379999633,0.05820145518552418,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.6031388282999387,0.6005961649998426,0.02418598706651694,0.5707445299999563,0.5846419132498113,0.6150737182501871,0.03043180500037579,0.6487652451997974,0.6610315920001995,0.04010019904486955
20260728T123050Z_paper_groth16,linked_account_budget_monolithic_32,account_policy_with_privacy_budget,pi_valid+pi_trans+pi_limit+pi_budget,account,composition,32,,account_budget_b32,commitment_linked,transaction_commitment,monolithic,1,linked_account_budget_monolithic_32,groth16,30,30,0,0,1914.0,805.0,111.0,30,0.061866306433345626,0.059065622000161966,0.008223457251704806,0.056609741000102076,0.05841050400022141,0.06057353549999789,0.00216303149977648,0.07645899044994164,0.0967394660001446,0.1329230355874681,30,0.34620036163332013,0.3448781859999599,0.010555544141156033,0.3283951540001908,0.33916043724991596,0.352296187249749,0.013135749999833024,0.3648494190499264,0.3712050840001666,0.03048969703947332,30,0.26607625283333314,0.26123028500001055,0.015397855140316717,0.24879969099993104,0.2559633750001922,0.2733596572500687,0.01739628224987655,0.29174820235002696,0.31790202399997725,0.05787008414449426,30,2.2652333427686243e-06,2.2030002355677425e-06,3.347234292351963e-07,1.8559999261924531e-06,2.064000057089288e-06,2.3047500690154266e-06,2.4075001192613854e-07,2.879700070934631e-06,3.445999936957378e-06,0.14776554049221657,30,0.6741451861333416,0.6651303014998575,0.024416459272222232,0.6434258349995616,0.6557856657498746,0.6898851142501599,0.034099448500285234,0.7204776258996844,0.7352094630002739,0.03621839890642312
20260728T123050Z_paper_groth16,linked_separate_account_budget_32,account_policy_with_privacy_budget,pi_valid+pi_trans+pi_limit+pi_budget,account,composition_baseline,32,,account_budget_b32,commitment_linked,transaction_commitment,separate,4,linked_account_budget_validity_32;linked_account_budget_transition_32;linked_account_budget_limit_32;linked_account_budget_budget_32,groth16,30,30,0,0,6333.0,3218.5,444.0,30,0.23466961560002347,0.23258319200010646,0.008311655778287323,0.22600450699928842,0.2305099117501186,0.23653707299990856,0.00602716124978997,0.24828781535022695,0.2668286509997415,0.03541854260525107,30,1.3764140845333561,1.3590707034998104,0.050126702045218664,1.3060790839999754,1.3457057550002673,1.405766480499949,0.060060725499681666,1.4643209035499467,1.499471412000048,0.03641832978061472,30,1.051651030533397,1.0487286985003266,0.03228420070821785,0.9965680690002046,1.0263462204998746,1.0804361314999937,0.05408991100011917,1.1004070691000378,1.1082187819999945,0.03069858705110888,30,2.7883999412855093e-06,2.7424998734204564e-06,3.035293482902679e-07,2.345999746466987e-06,2.6274999527231557e-06,2.9242499977044645e-06,2.9675004498130875e-07,3.153349939566396e-06,3.960999947594246e-06,0.10885430880848988,30,2.662737519066718,2.6368692555004145,0.0808685403246021,2.5441846350008746,2.6114107540005307,2.7106904490003103,0.09927969499977962,2.792036210650008,2.861528740000267,0.03037045136651182
20260728T123050Z_paper_groth16,linked_separate_token_bundle_32_depth_16,token_policy_bundle,pi_mem+pi_null+pi_valid+pi_budget,token,composition_baseline,32,16,token_bundle_b32_d16,commitment_linked,transaction_commitment,separate,4,linked_token_bundle_membership_32_depth_16;linked_token_bundle_nullifier_32_depth_16;linked_token_bundle_validity_32_depth_16;linked_token_bundle_budget_32_depth_16,groth16,30,30,0,0,15434.0,3221.0,1368.0,30,0.2373830340666397,0.2366643180000665,0.006066408539662812,0.22589179999977205,0.23350477874998887,0.2405248457499738,0.00702006699998492,0.2471510185999591,0.2510558269998455,0.025555358509571545,30,1.5735736199999717,1.581542440000021,0.038702629811041576,1.4946329620006509,1.5437408914998514,1.6061927870001114,0.06245189550025998,1.6210415213499005,1.6291548439999133,0.02459537279929888,30,1.049896187199882,1.0393715345001056,0.029785087198886506,1.0025293529995452,1.0329283874993962,1.0631104750000304,0.030182087500634225,1.101491533349781,1.1258919430001697,0.028369554592177926,30,2.7952333160404425e-06,2.7394999051466584e-06,2.614800942055772e-07,2.4060000214376487e-06,2.639750050548173e-06,2.892249881369935e-06,2.5249983082176186e-07,3.1469997566091476e-06,3.8040002436900977e-06,0.09354499773062736,30,2.8608556364998092,2.8487364275000573,0.06238161011979577,2.7686581759994624,2.8187258754990125,2.914808495999864,0.09608262050085159,2.955359522499589,2.9803133560001243,0.021805228241477514
20260728T123050Z_paper_groth16,linked_separate_valid_limit_32,local_validity_and_operating_limit,pi_valid+pi_limit,account,composition_baseline,32,,valid_limit_b32,commitment_linked,transaction_commitment,separate,2,linked_valid_limit_validity_32;linked_valid_limit_limit_32,groth16,30,30,0,0,2210.0,1609.0,196.0,30,0.08099187926657123,0.08051202199987983,0.0039808702319942355,0.07506880100027047,0.07827611774996512,0.08269770574997892,0.004421588000013799,0.08780932199999825,0.09315056999980698,0.04915147380260022,30,0.6791310332666475,0.6720408120000911,0.028759060573909725,0.636782301999574,0.6581336139998939,0.695889497500275,0.03775588350038106,0.7280649663498706,0.7647138409997751,0.04234685085082549,30,0.5333827896333787,0.5232939135003107,0.03261647887804536,0.49434052299966424,0.5093724755005269,0.5554173615000195,0.046044885999492635,0.5995264034501928,0.6116601610001453,0.06115022740134592,30,2.62843332166085e-06,2.6189999289272237e-06,2.47858613858208e-07,2.1880000531382393e-06,2.440000116621377e-06,2.7209998734178953e-06,2.8099975679651834e-07,2.9877998258598377e-06,3.4119998417736497e-06,0.09429899241331773,30,1.293508330599919,1.273970473999725,0.06153961649438696,1.2227422959995238,1.2559381940002368,1.3299902130000874,0.07405201899985059,1.410457569949858,1.4579998060003163,0.04757574036329968
