evaluation_run_id,timestamp_utc,phase,block,repetition,order_index,parent_experiment,parent_execution_mode,composition_id,comparison_group,binding_mode,component_index,component_name,component_family,proving_system,witness_time_s,prove_time_s,verify_time_s,total_online_time_s,proof_size_bytes,public_size_bytes,verification_ok,binding_ok,status,error
20260728T123050Z_paper_groth16,2026-07-28T12:36:21.450069+00:00,measured,1,1,9,operating_limit_64,monolithic,,,none,1,operating_limit_64,operating_limit,groth16,0.021011959999896135,0.3099272770000425,0.2845587270001033,0.615497964000042,804,26,True,,ok,
20260728T123050Z_paper_groth16,2026-07-28T12:36:23.987950+00:00,measured,1,1,10,separate_token_bundle_32_depth_8,separate,token_bundle_b32_d8,baseline,unbound,1,merkle_membership_depth_8,merkle_membership,groth16,0.042227658999991036,0.4212862120000409,0.2763544859999456,0.7398683569999776,804,84,True,,ok,
20260728T123050Z_paper_groth16,2026-07-28T12:36:23.987950+00:00,measured,1,1,10,separate_token_bundle_32_depth_8,separate,token_bundle_b32_d8,baseline,unbound,2,nullifier_correctness_poseidon,nullifier_correctness,groth16,0.0339259120000861,0.34903885200014884,0.2823748499999965,0.6653396140002314,803,164,True,,ok,
20260728T123050Z_paper_groth16,2026-07-28T12:36:23.987950+00:00,measured,1,1,10,separate_token_bundle_32_depth_8,separate,token_bundle_b32_d8,baseline,unbound,3,local_financial_validity_32,local_financial_validity,groth16,0.019089136999809853,0.2907486980000158,0.25038448300006166,0.5602223179998873,806,3,True,,ok,
20260728T123050Z_paper_groth16,2026-07-28T12:36:23.987950+00:00,measured,1,1,10,separate_token_bundle_32_depth_8,separate,token_bundle_b32_d8,baseline,unbound,4,privacy_budget_32,privacy_budget,groth16,0.019304292000015266,0.29410393400007706,0.2563741020001089,0.5697823280002012,807,16,True,,ok,
20260728T123050Z_paper_groth16,2026-07-28T12:36:24.601265+00:00,measured,1,1,11,account_policy_with_privacy_budget_16,monolithic,account_budget_b16,baseline,shared_witness,1,account_policy_with_privacy_budget_16,account_policy_with_privacy_budget,groth16,0.02072417499994117,0.3068209680000109,0.28509933300006196,0.612644476000014,804,21,True,,ok,
20260728T123050Z_paper_groth16,2026-07-28T12:36:25.225245+00:00,measured,1,1,12,local_validity_and_operating_limit_32,monolithic,valid_limit_b32,baseline,shared_witness,1,local_validity_and_operating_limit_32,local_validity_and_operating_limit,groth16,0.022202527999979793,0.3300330160000158,0.2711062399998809,0.6233417839998765,807,16,True,,ok,
20260728T123050Z_paper_groth16,2026-07-28T12:36:27.938996+00:00,measured,1,1,13,linked_separate_account_budget_32,separate,account_budget_b32,commitment_linked,tx_tag,1,linked_account_budget_validity_32,linked_account_budget_component,groth16,0.06131424000000152,0.3357833089999076,0.2917165500000465,0.6888140989999556,805,111,True,True,ok,
20260728T123050Z_paper_groth16,2026-07-28T12:36:27.938996+00:00,measured,1,1,13,linked_separate_account_budget_32,separate,account_budget_b32,commitment_linked,tx_tag,2,linked_account_budget_transition_32,linked_account_budget_component,groth16,0.05892330699998638,0.35102379299996755,0.2720763639999859,0.6820234639999398,806,111,True,True,ok,
20260728T123050Z_paper_groth16,2026-07-28T12:36:27.938996+00:00,measured,1,1,13,linked_separate_account_budget_32,separate,account_budget_b32,commitment_linked,tx_tag,3,linked_account_budget_limit_32,linked_account_budget_component,groth16,0.059590857000102915,0.356347372999835,0.2581205039998622,0.6740587339998001,801,111,True,True,ok,
20260728T123050Z_paper_groth16,2026-07-28T12:36:27.938996+00:00,measured,1,1,13,linked_separate_account_budget_32,separate,account_budget_b32,commitment_linked,tx_tag,4,linked_account_budget_budget_32,linked_account_budget_component,groth16,0.05843744100002368,0.3321449259999554,0.2667234919999828,0.6573058589999619,807,111,True,True,ok,
20260728T123050Z_paper_groth16,2026-07-28T12:36:28.550172+00:00,measured,1,1,14,local_validity_and_operating_limit_64,monolithic,valid_limit_b64,baseline,shared_witness,1,local_validity_and_operating_limit_64,local_validity_and_operating_limit,groth16,0.022742387000107556,0.3170788329998686,0.27066422999996576,0.6104854499999419,807,26,True,,ok,
20260728T123050Z_paper_groth16,2026-07-28T12:36:29.175722+00:00,measured,1,1,15,account_policy_with_privacy_budget_64,monolithic,account_budget_b64,baseline,shared_witness,1,account_policy_with_privacy_budget_64,account_policy_with_privacy_budget,groth16,0.025689646000046196,0.31725262400004794,0.28191187299989906,0.6248541429999932,802,50,True,,ok,
20260728T123050Z_paper_groth16,2026-07-28T12:36:29.893172+00:00,measured,1,1,16,linked_valid_limit_monolithic_32,monolithic,valid_limit_b32,commitment_linked,tx_tag,1,linked_valid_limit_monolithic_32,local_validity_and_operating_limit,groth16,0.04094381400000202,0.37753837400009616,0.29808382300006997,0.7165660110001681,806,98,True,True,ok,
20260728T123050Z_paper_groth16,2026-07-28T12:36:30.498979+00:00,measured,1,1,17,operating_limit_32,monolithic,,,none,1,operating_limit_32,operating_limit,groth16,0.022508561999984522,0.3045762389999709,0.2777457270001378,0.6048305280000932,803,16,True,,ok,
20260728T123050Z_paper_groth16,2026-07-28T12:36:31.765092+00:00,measured,1,1,18,separate_valid_limit_32,separate,valid_limit_b32,baseline,unbound,1,local_financial_validity_32,local_financial_validity,groth16,0.021304095999994388,0.3001549909999994,0.2783001119998971,0.5997591989998909,809,3,True,,ok,
20260728T123050Z_paper_groth16,2026-07-28T12:36:31.765092+00:00,measured,1,1,18,separate_valid_limit_32,separate,valid_limit_b32,baseline,unbound,2,operating_limit_32,operating_limit,groth16,0.02828614899999593,0.33789794199992684,0.29899310700011483,0.6651771980000376,803,16,True,,ok,
20260728T123050Z_paper_groth16,2026-07-28T12:36:32.562754+00:00,measured,1,1,19,merkle_membership_depth_8,monolithic,,,none,1,merkle_membership_depth_8,merkle_membership,groth16,0.03934531999993851,0.4629683109999405,0.2946716619999279,0.7969852929998069,803,84,True,,ok,
20260728T123050Z_paper_groth16,2026-07-28T12:36:33.264380+00:00,measured,1,1,20,nullifier_correctness_poseidon,monolithic,,,none,1,nullifier_correctness_poseidon,nullifier_correctness,groth16,0.03524651799989442,0.34729649499990956,0.3183220870000696,0.7008650999998736,807,164,True,,ok,
